"","study","species","treatment","replicate","n_nodes","density","normal_ei"
"1","burnsetal2020","wood ants","before","2b",13,0.217948717948718,0.606358847040051
"2","burnsetal2020","wood ants","after","2b",18,0.104575163398693,0.767790482006362
"3","burnsetal2020","wood ants","before","2a",7,0.428571428571429,0.509207447516218
"4","burnsetal2020","wood ants","after","2a",7,0.285714285714286,0.61531111011372
"5","burnsetal2020","wood ants","before","12",13,0.205128205128205,0.62753043472762
"6","burnsetal2020","wood ants","after","12",22,0.0995670995670996,0.716278579671484
"7","burnsetal2020","wood ants","before","10",17,0.147058823529412,0.659004930069062
"8","burnsetal2020","wood ants","after","10",14,0.120879120879121,0.811958674727523
"9","burnsetal2020","wood ants","before","9",19,0.12280701754386,0.70039613306123
"10","burnsetal2020","wood ants","after","9",23,0.0988142292490119,0.699390818462913
"11","burnsetal2020","wood ants","before","8",20,0.147368421052632,0.581656508606096
"12","burnsetal2020","wood ants","after","8",20,0.105263157894737,0.307669202101048
"13","burnsetal2020","wood ants","before","7",23,0.106719367588933,0.698536746390952
"14","burnsetal2020","wood ants","after","7",5,0.3,0.827729376770643
"15","burnsetal2020","wood ants","before","6",27,0.111111111111111,0.662900180889562
"16","burnsetal2020","wood ants","after","6",32,0.0806451612903226,0.710335484334905
"17","burnsetal2020","wood ants","before","3",22,0.151515151515152,0.538784546335
"18","burnsetal2020","wood ants","after","3",30,0.0804597701149425,0.683429635136202
