GroupID,RiskTreatment,Block,r^w_BodyLength
L1,LowRisk,A,-0.1685229
L2,LowRisk,A,-0.4224112
L3,LowRisk,A,-0.1221766
L4,LowRisk,A,-0.1648306
L5,LowRisk,B,-0.2354728
L6,LowRisk,B,-0.2086576
L7,LowRisk,B,-0.04882385
L8,LowRisk,B,-0.1397699
L9,LowRisk,C,-0.1435326
L10,LowRisk,C,-0.05952903
L11,LowRisk,C,-0.2573275
L12,LowRisk,C,-0.1307264
L13,LowRisk,D,-0.1684362
L14,LowRisk,D,-0.1033437
L15,LowRisk,D,-0.1544497
L16,LowRisk,D,-0.1367923
H1,HighRisk,A,0.2500549
H2,HighRisk,A,-0.1162853
H3,HighRisk,A,-0.1574705
H4,HighRisk,A,-0.0611558
H5,HighRisk,B,-0.09335798
H6,HighRisk,B,-0.02138544
H7,HighRisk,B,-0.2142862
H8,HighRisk,B,-0.2042319
H9,HighRisk,C,-0.2568482
H10,HighRisk,C,-0.07665434
H11,HighRisk,C,-0.05436831
H12,HighRisk,C,-0.1852005
H13,HighRisk,D,-0.1059105
H14,HighRisk,D,-0.0718722
H15,HighRisk,D,-0.09390751
H16,HighRisk,D,-0.1483491
